Symbol,GPA
0200607C,2.45
0200607D,2.45
0200608C,1.5
0200608D,1.5
0200610C,1.75
0200610D,1.75
0200611C,1.5
0200611D,1.5
0200612C,1.9
0200612D,1.9
0200613C,2.35
0200613D,2.35
0200615C,1.25
0200615D,1.25
0200617C,1.9
0200617D,1.9
0200618C,1.15
0200618D,1.15
0200619C,3.45
0200619D,3.45
0200620C,2.25
0200620D,2.25
0200621C,1.9
0200621D,1.9
0200622C,2.3
0200622D,2.3
0200623C,2.1
0200623D,2.1
0200624C,1.25
0200624D,1.25
0200625C,1.35
0200625D,1.35
0200626C,1.15
0200626D,1.15
0200627C,2.1
0200627D,2.1
0200628C,1.7
0200628D,1.7
0200629C,1.95
0200629D,1.95
0200630C,1.05
0200630D,1.05
0200631C,2.0
0200631D,2.0
0200633C,1.55
0200633D,1.55
0200634C,1.8
0200634D,1.8
0200637C,1.4
0200637D,1.4
0200638C,1.0
0200638D,1.0
0200639C,1.35
0200639D,1.35
0200641C,2.0
0200641D,2.0
0200642C,1.65
0200642D,1.65
0200644C,1.95
0200644D,1.95
0200645C,1.5
0200645D,1.5
0200646C,1.2
0200646D,1.2
0200647C,1.1
0200647D,1.1
0200648C,1.55
0200648D,1.55
0200649C,1.1
0200649D,1.1
0200650C,1.3
0200650D,1.3
0200653C,1.3
0200653D,1.3
0200657C,1.2
0200657D,1.2
0200658C,1.9
0200658D,1.9
0200659C,1.75
0200659D,1.75
0200660C,1.5
0200660D,1.5
0200662C,1.6
0200662D,1.6
0200663C,1.45
0200663D,1.45
0200664C,1.8
0200664D,1.8
0200665C,1.65
0200665D,1.65
0200666C,1.3
0200666D,1.3
0200667C,1.6
0200667D,1.6
0200668C,2.35
0200668D,2.35
0200669C,1.5
0200669D,1.5
0200670C,2.2
0200670D,2.2
0200672C,2.15
0200672D,2.15
0200675C,1.3
0200675D,1.3
0200676C,1.55
0200676D,1.55
0200677C,2.15
0200677D,2.15
0200678C,1.8
0200678D,1.8
0200679C,1.4
0200679D,1.4
0200680C,1.6
0200680D,1.6
0200681C,1.6
0200681D,1.6
0200683C,1.2
0200683D,1.2
0200684C,1.75
0200684D,1.75
0200685C,1.75
0200685D,1.75
0200686C,1.85
0200686D,1.85
0200687C,1.85
0200687D,1.85
0200688C,2.1
0200688D,2.1
0200690C,1.65
0200690D,1.65
0200691C,1.55
0200691D,1.55
0200693C,1.8
0200693D,1.8
0200695C,1.1
0200695D,1.1
0200696C,1.3
0200696D,1.3
0200697C,1.25
0200697D,1.25
0200698C,1.85
0200698D,1.85
0200701C,1.7
0200701D,1.7
0200702C,1.55
0200702D,1.55
0200703C,1.95
0200703D,1.95
0200704C,2.35
0200704D,2.35
0200705C,1.6
0200705D,1.6
0200706C,1.8
0200706D,1.8
0200707C,1.75
0200707D,1.75
0200708C,1.35
0200708D,1.35
0200710C,1.4
0200710D,1.4
0200711C,1.65
0200711D,1.65
0200712C,1.35
0200712D,1.35
0200713C,1.3
0200713D,1.3
0200714C,1.6
0200714D,1.6
0200715C,1.95
0200715D,1.95
0200716C,2.55
0200716D,2.55
0200717C,1.85
0200717D,1.85
0200718C,1.85
0200718D,1.85
0200719C,1.4
0200719D,1.4
0200721C,1.15
0200721D,1.15
0200723C,1.1
0200723D,1.1
0200725C,1.85
0200725D,1.85
0200726C,1.4
0200726D,1.4
0200728C,1.6
0200728D,1.6
0200729C,1.85
0200729D,1.85
0200730C,1.45
0200730D,1.45
0200731C,1.55
0200731D,1.55
0200732C,2.05
0200732D,2.05
0200733C,2.15
0200733D,2.15
0200734C,1.55
0200734D,1.55
0200735C,1.95
0200735D,1.95
0200736C,1.7
0200736D,1.7
0200737C,1.8
0200737D,1.8
0200738C,1.6
0200738D,1.6
0200740C,1.45
0200740D,1.45
0200741C,1.55
0200741D,1.55
0200742C,1.65
0200742D,1.65
0200743C,2.35
0200743D,2.35
0200744C,1.75
0200744D,1.75
0200745C,1.8
0200745D,1.8
0200746C,1.45
0200746D,1.45
0200747C,1.45
0200747D,1.45
0200748C,1.6
0200748D,1.6
0200749C,1.8
0200749D,1.8
0200750C,2.35
0200750D,2.35
0200751C,1.75
0200751D,1.75
0200752C,2.05
0200752D,2.05
0200753C,1.9
0200753D,1.9
0200754C,1.55
0200754D,1.55
0200755C,1.65
0200755D,1.65
0200758C,1.3
0200758D,1.3
0200759C,1.7
0200759D,1.7
0200760C,1.2
0200760D,1.2
0200761C,2.3
0200761D,2.3
0200762C,1.9
0200762D,1.9
0200763C,1.4
0200763D,1.4
0200764C,1.5
0200764D,1.5
0200765C,1.65
0200765D,1.65
0200766C,1.65
0200766D,1.65
0200767C,1.5
0200767D,1.5
0200768C,1.6
0200768D,1.6
0200769C,1.3
0200769D,1.3
0200770C,2.45
0200770D,2.45
0200771C,1.5
0200771D,1.5
0200772C,2.1
0200772D,2.1
0200773C,1.7
0200773D,1.7
0200774C,1.6
0200774D,1.6
0200775C,1.4
0200775D,1.4
0200776C,1.75
0200776D,1.75
0200777C,1.7
0200777D,1.7
0200778C,1.7
0200778D,1.7
0200779C,1.7
0200779D,1.7
0200780C,1.45
0200780D,1.45
0200781C,1.35
0200781D,1.35
0200782C,1.35
0200782D,1.35
0200783C,1.45
0200783D,1.45
0200785C,1.75
0200785D,1.75
0200787C,1.4
0200787D,1.4
0200789C,1.15
0200789D,1.15
0200790C,1.75
0200790D,1.75
0200791C,1.4
0200791D,1.4
0200792C,1.1
0200792D,1.1
0200793C,1.75
0200793D,1.75
0200794C,1.75
0200794D,1.75
0200795C,1.85
0200795D,1.85
0200796C,1.35
0200796D,1.35
0200797C,1.45
0200797D,1.45
0200798C,1.55
0200798D,1.55
0200799C,2.2
0200799D,2.2
0200800C,1.95
0200800D,1.95
0200801C,2.05
0200801D,2.05
0200803C,2.15
0200803D,2.15
0200805C,1.6
0200805D,1.6
0200806C,2.2
0200806D,2.2
0200807C,2.6
0200807D,2.6
0200808C,2.3
0200808D,2.3
0200809C,1.35
0200809D,1.35
0200810C,1.25
0200810D,1.25
0200811C,1.35
0200811D,1.35
0200812C,1.35
0200812D,1.35
0200813C,1.3
0200813D,1.3
0200814C,1.55
0200814D,1.55
0200815C,1.65
0200815D,1.65
0200816C,1.45
0200816D,1.45
0200817C,1.4
0200817D,1.4
0200818C,1.2
0200818D,1.2
0200819C,1.35
0200819D,1.35
0200820C,1.3
0200820D,1.3
0200821C,1.3
0200821D,1.3
0200822C,1.4
0200822D,1.4
0200823C,1.45
0200823D,1.45
0200824C,1.4
0200824D,1.4
0200825C,1.35
0200825D,1.35
0200826C,1.4
0200826D,1.4
0200827C,1.45
0200827D,1.45
0200828C,1.65
0200828D,1.65
0200829C,2.3
0200829D,2.3
0200830C,1.3
0200830D,1.3
0200831C,1.8
0200831D,1.8
0200832C,1.9
0200832D,1.9
0200833C,1.35
0200833D,1.35
0200836C,1.8
0200836D,1.8
0200838C,1.55
0200838D,1.55
0200839C,1.55
0200839D,1.55
0200840C,1.35
0200840D,1.35
0200841C,2.0
0200841D,2.0
0200842C,1.4
0200842D,1.4
0200843C,1.45
0200843D,1.45
0200844C,1.3
0200844D,1.3
0200845C,1.75
0200845D,1.75
0200846C,1.55
0200846D,1.55
0200847C,1.55
0200847D,1.55
0200848C,2.1
0200848D,2.1
0200849C,1.7
0200849D,1.7
0200850C,1.5
0200850D,1.5
0200851C,1.25
0200851D,1.25
0200852C,1.6
0200852D,1.6
0200853C,2.4
0200853D,2.4
0200854C,1.65
0200854D,1.65
0200855C,1.4
0200855D,1.4
0200856C,1.45
0200856D,1.45
0200857C,1.45
0200857D,1.45
0200858C,2.0
0200858D,2.0
0200859C,1.5
0200859D,1.5
0200860C,1.7
0200860D,1.7
0200861C,1.8
0200861D,1.8
0200862C,1.45
0200862D,1.45
0200863C,1.4
0200863D,1.4
0200864C,1.65
0200864D,1.65
0200865C,1.6
0200865D,1.6
0200866C,1.25
0200866D,1.25
0200867C,1.25
0200867D,1.25
0200868C,1.35
0200868D,1.35
0200869C,1.65
0200869D,1.65
0200870C,1.65
0200870D,1.65
0200871C,1.15
0200871D,1.15
0200872C,1.8
0200872D,1.8
